address,country,exchanges,focus,hours,last_exchange,members,name,notes,offers,phone,postal,requests,slug,sponsor,url,url_2,mission
4212 Omega Ave.,United States,227,,811,4 days 17 hours ago,94,Eastbay Area Reciprocity Network,,11,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">510-889-8132</span>
</div>","Castro Valley, California 94546",14,timebanks/eastbay-area-reciprocity-network-earn,,http://earn.timebanks.org,,"By creating a collaborative network we help our communities overcome the financial and emotional hardships brought on by the decline of social support networks, economic system shortcomings, and environmental degradation.  Through enhanced community cohesiveness, we will support local efforts to create a future that is economically and environmentally sustainable."
"O'Rourke Place, Whakatane -,  PO Box 2025, Kopeopeo",New Zealand,5646,,19627,2 hours 42 min ago,192,Eastbay TimeBank,,33,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">07 308 0198</span>
</div>","Whakatane, Bay of Plenty 3159",31,node/949,,http://eastbay.timebanks.org,,"To weave community one thread at a time in the Eastern Bay of Plenty, New Zealand"
"46 Coleridge Street, Lyttelton",New Zealand,10,,119,2 years 28 weeks ago,6,FabLabChch,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">6421388245</span>
</div>","Christchurch, Canterbury 8013",0,timebanks/fablabchch,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Fabriko Ltd.</span>
</div>",http://fablabchch.timebanks.org,,Equipping people with skills and tools to collaboratively solve local problems and contribute to a rapidly changing world.
1327 Hayes Ave.,United States,1,,1,28 weeks 19 min ago,5,Fairbanks Time Bank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">(832) 566-6648</span>
</div>","Fairbanks, Alaska 99709",1,timebanks/fairbanks-time-bank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Fairbanks Climate Action Coalition</span>
</div>",http://fairbanks.timebanks.org,,To strengthen the community through economic diversification.
68 Broadway,New Zealand,3,,12,31 weeks 5 days ago,33,Far North Timebank,,1,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">274973757</span>
</div>","Kaikohe, Northland 281",1,timebanks/far-north-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Far North Resilient Communities Charitable Trust</span>
</div>",http://farnorth.timebanks.org,,"The goal of the Far North Timebank is to create a network of people and organisations that support and empower each other, building a better community that works towards becoming more independent, sustainable and resilient."
175 West Sierra Avenue,United States,none (start up),,none (start up),none (start up),2,Farmster Timebank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">916-749-8970</span>
</div>","Cotati, California 94931",0,timebanks/farmster-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">MarinLink</span>
</div>",http://farmster.timebanks.org,,"Farmster, a fiscally sponsored project of MarinLink, will serve as the land operator and proposing entity for community-based projects inspired by social agro-preneurs to generate positive change in the Arts, Community, Education, Environment and Health."
"1017 Ranch Road 620 S. , Suite 222",United States,1,,1,2 years 18 weeks ago,6,Flourish Wellness Professionals Co-Op,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">512 298 3286</span>
</div>","Lakeway, Texas 78734",0,timebanks/flourish-wellness-professionals-co-op,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Flourish Counseling &amp; Mental Wellness Center</span>
</div>",http://flourish.timebanks.org,,"To establish a self-care services system for licensed professionals. To build a network of trusted clinicians who believe that their own mental and physical wellness is integral to the care they provide. By participating in the co-op, these providers feel healthier and better equipped to do the work they love."
256 W. Patrick Street,United States,721,,1599,2 weeks 1 day ago,91,Frederick TimeBank,,46,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">617-319-1162</span>
</div>","Frederick, Maryland 21701",49,timebanks/frederick-time-bank,,http://frederick.timebanks.org,,"""The mission of the Frederick Timebank is to nurture, inspire, and motivate a network of people to come together to create a caring, sharing, and resilient community. We envision an alternative integrated community in which individuals invest in each other's well being through reciprocity, exchanging time, talent, and service, - free from monetary capital."""
202 29 Ave NE,Canada,1,,1,1 year 36 weeks ago,15,GHOOD Calgary Timebank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">1 (403) 831-4503</span>
</div>","Calgary, Alberta T2E 2C1",0,timebanks/ghood-calgary,,http://ghoodcalgary.timebanks.org,,"Our mission is to support the growth of a more self-reliant, soul-inspiring neighbourhood economy that deeply fulfills ALL of its people."
5811 Lindo Paseo,United States,none (start up),,none (start up),none (start up),1,Girls Fraternity,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">619-609-7274</span>
</div>","San Diego, California 92115",0,timebanks/girls-fraternity,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Girls Fraternity</span>
</div>",http://karma.timebanks.org,,PAY IT FORWARD.
50 glendale st 106,United States,none (start up),,none (start up),none (start up),2,Globetable,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">4154650992</span>
</div>","San francisco, California 94114",0,timebanks/globetable,,http://globetable.timebanks.org,,Globetable's mission is to aid and encourage time exchange within the San Francisco creative communities.
"930 Harvest Drive, Suite 230",United States,21,,51,1 week 3 hours ago,24,Good Neighbors Time Bank,,11,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">6109417012</span>
</div>","BlueBell, Pennsylvania 19422",5,timebanks/good-neighbors-time-bank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">KenCrest</span>
</div>",http://goodneighborstb.timebanks.org,,"The Good Neighbors Time Bank is committed to strengthening the fabric of our communities in Southeastern Pennsylvania by celebrating our gifts and honoring how those gifts can benefit others.  We are committed to serving all of our neighbors and especially those who experience disabilities, poverty, homelessness and illness."
111 S Texas St.,United States,4,,13,3 years 5 weeks ago,14,Gospel Mission Time Bank,,9,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">575-519-4610</span>
</div>","Silver City, New Mexico 88061",9,timebanks/scgm,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Silver City Gospel Mission</span>
</div>",http://scgm.timebanks.org,,To create and strengthen informal support systems in the community by exchanging services.
Main St.,United States,518,,1177,1 hour 30 min ago,51,Great Bay Timebank,,34,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">603-868-3310</span>
</div>","Durham, New Hampshire 03290",36,timebanks/great-bay-timebank,,http://greatbay.timebanks.org,,Building caring community economies through inclusive exchange of time and talent in the Great Bay region of New Hampshire.
3438 E. 137 St,United States,10,,25,3 years 5 weeks ago,8,Greater Buckeye Community TimeSharing,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">440-321-2956</span>
</div>","Cleveland, Ohio 44120",0,timebanks/greater-cleveland-community-timebank,,http://gct.timebanks.org,,To rebuild Community Spirit in the Greater Buckeye Community; and to utilize the TimeBank to better educate our children and to improve our residents' health/wellness.
17300 Van Aken Blvd,United States,59,,99,46 weeks 1 hour ago,50,Greater Heights Community TimeBank,,12,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">216-561-4800</span>
</div>","Shaker Heights, Ohio 44120",12,timebanks/greater-heights-community-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Heights Christian Church</span>
</div>",http://greaterheights.timebanks.org,,To build community through neighbors helping neighbors.
10 Carden Street,Canada,326,,1282,32 weeks 3 days ago,202,Guelph Wellington TimeBank,,102,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">519-836-0917</span>
</div>","Guelph, Ontario N1H 3A2",103,timebanks/guelph-wellington-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Transition Guelph</span>
</div>",http://gwtb.timebanks.org,,"Our mission is to connect neighbours and community members with each other, and create resilience through interconnectedness."
29350 Maple Ave,United States,23,,111,11 weeks 4 days ago,9,Habitat for Humanity Choptank,,10,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">4104763204</span>
</div>","Trappe, Maryland 21673",10,timebanks/habitat-humanity-choptank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Habitat for Humanity Choptank</span>
</div>",http://choptank.timebanks.org,,Habitat for Humanity Choptank's time banking system aims to engage our partner families and the larger community of Dorchester and Talbot counties.
10421 Motor City Drive,United States,none (start up),,none (start up),none (start up),2,Healthy Outcomes Win Inc,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">240-389-4875</span>
</div>","Bethesda, Maryland 20817",0,timebanks/healthy-outcomes-win-inc,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Healthy Outcomes Win, Inc.</span>
</div>",http://healthyoutcomeswin.timebanks.org,,The purpose of the Healthy Outcomes Win Inc (HOW) Timebank at Timebanks.org is to maximize co-production in HOW's governance and administration.
"140 Commonwealth Ave, History Dept",United States,38,,47,2 years 4 weeks ago,31,History of Money Class At BC,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">617-552-2557</span>
</div>","Chestnut Hill, Massachusetts 02467",0,timebanks/history-money-class-bc-0,,http://bc-historyofmoney.timebanks.org,,"This time bank is being set up for the students in my History of Money class to teach them about different ways of conceiving money.  As part of the class, they have been asked to participate in this time bank in order to think about what money is and what it can be."
21 Keepsake,United States,none (start up),,none (start up),none (start up),1,Hope Xchange Timebank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">707-307-3938</span>
</div>","Irvine, California 92618",0,timebanks/hope-xchange-timebank,,http://hopexchange.timebanks.org,,The mission of Hope Xchange Timebank is to promote community wellness and to reduce the incidence of suicide by extending the delivery of wellness services into our communities through a grassroots initiative. Hope Xchange Timebank will build relationships based on reciprocity that provide members with a sense of purpose; it will strengthen local and global communities by providing individuals an opportunity to be part of a solution; and it will provide support to those who are socially isolated due to mental health conditions.
6914 N Brookside Rd,United States,49,,106,1 year 36 weeks ago,42,Hour 4 Our World,,3,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">816-256-3818</span>
</div>","Pleasant Valley, Missouri 64068",3,timebanks/hour-4-our-world,,http://hour4ourworld.timebanks.org,,"The Hour 4 Our World TimeBank is committed to building a sovereign, sustainable, and resilient community where everyone is equally valuable.  The Timebank is a simple, money-free, community building, alternative means of exchange, that recognizes value in every individual thereby strengthening the fabric of our community.  The Hour 4 Our World Time Exchange has three main goals:  Serve people and give them a means to serve. Strengthen the fabric of our community. Establish new relationships and meet real needs of our community members.  We recognize that each person has talents to share, and that the overall community is strengthened when neighbors help one another. For every hour that you help meet the needs of another member, you earn a time credit for the exchange. This time credit can then be redeemed for services from others, and the never-ending cycle of sharing continues. Core Values of TimeBanking Assets: We are all assets. Everyone has something to contribute. Work: Some work is beyond price. Work must be redefined to value whatever it takes to raise healthy children, build strong families, revitalize neighborhoods, make democracy work, advance social justice, and make the planet sustainable. That kind of work needs to be honored, recorded and rewarded. Reciprocity: Helping works better as a two-way street. The question: How can I help you? Needs to change so we ask: “How can we help each other build the world we both will live in?” Social Networks: We need each other. People helping each other reweave communities of support, strength and trust. Community is built upon sinking roots, building trust, creating networks that are built on mutual respect and commitment. Respect: Respect demands accountability. The voices of all must be heard and heeded so as to promote social justices and compel accountability"
"6795 E Tennessee Avenue, Suite 250",United States,25,,60,21 weeks 3 days ago,38,Hour Community Interfaith TimeBank,,19,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">3039290606</span>
</div>","Denver, Colorado 80224",19,timebanks/hour-community-interfaith-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Colorado African Organization is the initiating organization of the timebank.</span>
</div>",http://hourcommunityinterfaith.timebanks.org,,"To utilize the complimentary economy of timebanking to build community and create authentic reciprocal relationships between refugees, immigrants, and individuals from the broader faith community."
445 S. Madison St.,United States,116,,117,6 hours 23 min ago,50,Innovative Services Employee Timebank,,9,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">920-431-0962</span>
</div>","Green Bay, Wisconsin 54301",9,timebanks/innovative-services-employee-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Innovative Services, Inc.</span>
</div>",http://isiinc.timebanks.org,,"Innovative Services Employee Timebank is a benefit available to Innovative Services, Inc. (ISI) employees. It is a time bank, which allows you to share your time and talents with others and receive the help you need in exchange. You can save money by exchanging time with others in the organization to meet your needs at no cost to you. Innovative Services Employee Timebank aligns with many of our core values: Helping Others—Innovative Services Employee Timebank is based on the idea of sharing your time and talents with others to make their lives better. Commitment—You are expected to actively participate in Innovative Services Employee Timebank, both donating time and taking advantage of offers of assistance. Empathy—Innovative Services Employee Timebank allows you to help others in need. It gives you an opportunity to make a positive difference in someone’s life. Accountability—You are responsible for any offer you make. Participation in Innovative Services Employee Timebank is completely voluntary. Remember that any time spent on Innovative Services Employee Timebank projects is done as a volunteer, not an employee, of ISI. Please see the guidelines for more information."
PO Box 162,United States,16,,49,20 weeks 3 hours ago,66,Jefferson Community Time Bank,,8,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">617-460-5282</span>
</div>","Charles Town, West Virginia 25414",8,timebanks/jefferson-community-time-bank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Sustainable Jefferson County</span>
</div>",http://jeffersoncommunity.timebanks.org,,"The Jefferson Community Time Bank is dedicated to strengthening community ties, supporting our local economy, and promoting resilience in and around Jefferson County, WV."
"45 Monmouth Rd, The White House in Oakhurst",United States,117,,189,1 year 3 weeks ago,37,Jersey Shore Timebank,,3,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">2405052357</span>
</div>","Oakhurst, New Jersey 07755",3,timebanks/jersey-shore-timebank,,http://jerseyshore.timebanks.org,,To connect our community on equal terms and values by helping hands
"8 South Road, The EcoCentre",New Zealand,2180,,11097,1 day 1 hour ago,119,Kaitaia  TimeBank,,77,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">Rebecca  021 408 989</span>
</div>","Kaitaia, Northland 0410",85,timebanks/kaitaia-timebank,,http://kaitaia.timebanks.org,,"Facilitating an equitable and resilient way forward for Aotearoa New Zealand by creating a means of exchange that values sharing the gifts we have with others, strengthening a sense of community and inspiring respect for each other and our environment."
4 Settlement Road,New Zealand,none (start up),,none (start up),none (start up),3,Kapiti 50 +,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">63642138</span>
</div>","RD 2 Otaki, Wellington 5582",0,timebanks/kapiti-50-timebank,,http://kapiti50.timebanks.org,,"This timebank is intended for people nearing retirement (or already retired) and living in Te Horo or nearby. It's a free community timebank, for which members will not be charged by the organiser/coordinator."
7365 McGowan's Ferry Road,United States,none (start up),,none (start up),none (start up),1,Kentucky Light Community (KLC),,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">859-539-3438</span>
</div>","Versailles, Kentucky 40383",0,timebanks/kentucky-light-community-klc,,http://klc.timebanks.org,,
Kruis Street,South Africa,1,,2,3 years 24 weeks ago,4,Khokha,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">27765122512</span>
</div>","Johannesburg, Gauteng 2000",0,timebanks/khokha,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Economic Democracy</span>
</div>",http://khokha.timebanks.org,,"The mission of the Khokha Timebank is to provide a platform for people across South Africa and the continent to access services of other members in a safe, efficient and transparent manner."
"420 S Chester St, c/o Civilization Systems",United States,72,,179,23 weeks 1 day ago,120,LetsBMore,,15,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">4437404751</span>
</div>","Baltimore, Maryland 21231",20,timebanks/letsbmore,,http://letsbmore.timebanks.org,,A Creative Resource-Sharing Model for  the Baltimore Area
118 Fifth Ave,United States,none (start up),,none (start up),none (start up),11,Margination Mutual Support Network,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">415-261-3149</span>
</div>","Troy, New York 12180",0,timebanks/margination-mutual-support-network,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Margination</span>
</div>",http://margination.timebanks.org,,To improve the lives of our members and the health of the community by building skills and taking care of each other.
998 Catherine Street,United States,5,,5,1 year 47 weeks ago,6,Meadville Time Trade,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">814-853-5412</span>
</div>","Meadville, Pennsylvania 16335",0,timebanks/meadville-time-trade,,http://meadville.timebanks.org,,
"44 Cass St., Community House",New Zealand,1362,,4304,12 hours 24 min ago,152,Mid Canterbury TimeBank,,39,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">64 33081237</span>
</div>","Ashburton, Canterbury 7700",73,timebanks/mid-canterbury-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Connecting Mid Canterbury</span>
</div>",http://midcanterbury.timebanks.org,,"To support the growth of a regenerative, resilient and caring community by connecting people, services and resources in Mid Canterbury. Our slogan: Connect. Contribute. Belong."
"The buszy, 401 Elder gate",United Kingdom,161,,414,3 years 14 weeks ago,29,MK TimeBank,,1,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">01908 231312</span>
</div>","Milton Keynes, Buckinghamshire mk9 1lr",1,timebanks/mk-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">MK TimeBank is run by Make a Difference. A non profit in the UK www.mad-uk.org</span>
</div>",http://mk.timebanks.org,,"MK TimeBank is an exchange network where our members earn credits for giving their time to the community. For each hour they give they earn one time credit. Members can then spend their credits accessing training, opportunities and items. MKTB is a Make a Difference funded project."
P O Box 243,United States,2,,4,2 years 14 weeks ago,5,Mountaineer Time Exchange,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">304-258-9879</span>
</div>","Great Cacapon, West Virginia 25422",0,timebanks/mountaineer-time-exchange,,http://mttimeexchange.timebanks.org,,"Mountaineer Time Exchange is a membership organization that aims to strengthen the community through service. We trade services to each other for Time Credits. One hour of service equals one Time Credit. We are made up of members of primarily the Morgan County but surrounding areas are welcome to join. Our purpose is to create unity, strengthen the community and improve the lives of our members through meaningful Time Exchanges. By helping to create stronger more fulfilled individuals we aim to also create a strong community."
Invercargill,New Zealand,117,,371,16 weeks 1 day ago,67,Murihiku Time Exchange,The world's most Southern time bank!!,10,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">0210-875-8085</span>
</div>","Invercargill, Southland 9812",5,timebanks/murihiku-time-exchange,,http://murihiku.timebanks.org,,People are our greatest strength. Time banking brings communities together as people trade time instead of money. Your hour is worth the same as mine.
"Dominion Building, Victoria Street",New Zealand,none (start up),,none (start up),none (start up),17,MWDI HINEPRENEUR,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">64 4 499 6504</span>
</div>","Wellington, Wellington 6011",0,timebanks/mwdi-hinepreneur,,http://mwdi.timebanks.org,,To support wahine Maori and their whanau flourish to in business.  Our mission is to reclaim the ancient process of trade and exchange to ensure access to capital is not a barrier preventing tangata whenua accessing support in building successful businesses.
502 N Trade Street,United States,263,,2245,4 weeks 5 days ago,467,NBN Neighborhood Network,,18,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">336-865-5016</span>
</div>","Winston Salem, North Carolina 27105",9,timebanks/nbn-neighborhood-network,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Neighbors For Better Neighborhoods</span>
</div>",http://nbnneighborhoodnetwork.timebanks.org,,"To begin timebanking with neighborhood associations, individuals and organizations across Winston Salem, NC.  To develop and use the assets of community in place of money and to strengthen relationships in community."
114 Carol St,United States,31,,34,18 weeks 20 hours ago,18,NC Piedmont DSA Time Bank,,9,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">404-585-1840</span>
</div>","Carrboro, North Carolina 27510",4,timebanks/piedmont-time-bank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">North Carolina Piedmont DSA</span>
</div>",http://piedmont.timebanks.org,,"Our vision is to promote our core socialist values through the time bank. To do this we want to create a structure to connect individuals/organizations in the Piedmont to exchange skills and services, reduce social isolation, and build resilient communities."
1618 B Alcatraz Avenue,United States,none (start up),,none (start up),none (start up),3,Neighborhood Village,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">510-652-7442</span>
</div>","Berkeley, California 94703",0,timebanks/neighborhood-village,,http://theneighborhoodvillage.timebanks.org,,"We will help our neighbors to find people:  1) who can and will DO any job,  2) who NEED a job done, and 3) who want to join COMMUNITY GROUPS for fun, education, discussion or group projects."
935 Echo Lane,United States,53,,152,2 years 40 weeks ago,17,NERD,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">713-469-8572</span>
</div>","Houston, Texas 77024",0,timebanks/nerd,,http://nerd.timebanks.org,,Nonprofit Educational Resources Dedication  Share your knowledge. Learn how productive your time can be.
"715 Harvard Ave, 121 Park Ave",United States,201,,344,3 days 5 hours ago,127,Nether-Swarthmore TimeBank,,39,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">(610) 543-4599</span>
</div>","Swarthmore, Pennsylvania 19081",29,timebanks/timebank-swarthmore,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Swarthmore Community Center</span>
</div>",http://nether-swarthmore.timebanks.org,,Exchanging Skills & Services to Strengthen the Community.
303 Wilson Ave,United States,782,,2069,3 days 23 hours ago,145,New River Valley TimeBank,,65,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">not listed</span>
</div>","Blacksburg, Virginia 24060",61,timebanks/new-river-valley-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">NRV HOME</span>
</div>",http://nrv.timebanks.org,,"The New River Valley TimeBank is a project of New River Valley Home, a non-profit that works to foster vibrant, lifespan-friendly communities by connecting people, resources and organizations. It has been developed and supported through the efforts of the NRV Livability Initiative and the NRV Aging in Place Leadership Team."
3929 Fourth St,United States,1216,,2804,2 weeks 2 hours ago,362,NOLA TimeBank,"NOLA TimeBank’s mission is to increase the social capital among diverse groups of individuals and neighborhoods in Orleans Parish by promoting resource exchange, cooperation, community-building, and access to alternative work and learning opportunities.",156,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">504-439-4530</span>
</div>","NEW ORLEANS, Louisiana 70125",156,node/1322,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Neighborhoods Partnership Network</span>
</div>",http://nola.timebanks.org,,"The mission of NOLA TimeBank is to increase the social capital among diverse groups of individuals and neighborhoods in Orleans Parish by promoting resource exchange, cooperation, community-building, and access to alternative work and learning opportunities."
5209 Deerhurst Drive,United States,none (start up),,none (start up),none (start up),5,Norman Timebank,,2,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">405-317-3955</span>
</div>","Norman, Oklahoma 73069",2,timebanks/norman-timebank,,http://norman.timebanks.org,,"The Norman Time Bank seeks to meet unmet needs with untapped human resources, and to create a complimentary economy based on caring, trust, and justice."
1328 Bruce St,United States,none (start up),,none (start up),none (start up),3,Northern California Counties Time Bank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">1-530-588-4231</span>
</div>","Chico, California 95928",0,timebanks/northern-california-counties-time-bank,,http://ncc.timebanks.org,,"Our vision at the California Northern Counties Time Bank  is a community that values everyone's skills and talents equally and where assets are utilized to ensure everyone's needs are met. We envision an empowering and welcoming community, which is built through strong connections and relationships where all are respected. To realize this vision we promote the understanding that all work is important and should be valued equally. We help people recognize that they have much to contribute to others and facilitate connections between those who would like to give and those who have a need.  We strengthen people’s ability to meet their own needs by exchanging talents and keeping resources in the community.  We empower individuals and communities by reducing isolation and improving access to services and resources, all while having fun."
268 Newton Swartswood Road,United States,1613,,4291,4 days 18 hours ago,137,Northwest New Jersey TimeBank,,35,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">973.903.2895</span>
</div>","Newton, New Jersey 7860",26,timebanks/northwest-new-jersey-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Transition Newton</span>
</div>",http://northwestnewjersey.timebanks.org,,We are a community-wide circle of giving that encourages people to give of their talents and receive help with their unmet needs in return.
