address,country,focus,mission,name,notes,phone,postal,slug,sponsor,timebank,url,url_2
445 S. Madison St.,United States,,"Innovative Services Employee Timebank is a benefit available to Innovative Services, Inc. (ISI) employees. It is a time bank, which allows you to share your time and talents with others and receive the help you need in exchange. You can save money by exchanging time with others in the organization to meet your needs at no cost to you. Innovative Services Employee Timebank aligns with many of our core values: Helping Others—Innovative Services Employee Timebank is based on the idea of sharing your time and talents with others to make their lives better. Commitment—You are expected to actively participate in Innovative Services Employee Timebank, both donating time and taking advantage of offers of assistance. Empathy—Innovative Services Employee Timebank allows you to help others in need. It gives you an opportunity to make a positive difference in someone’s life. Accountability—You are responsible for any offer you make. Participation in Innovative Services Employee Timebank is completely voluntary. Remember that any time spent on Innovative Services Employee Timebank projects is done as a volunteer, not an employee, of ISI. Please see the guidelines for more information.",Innovative Services Employee Timebank,,920-431-0962,"Green Bay, Wisconsin 54301",timebanks/innovative-services-employee-timebank,"Innovative Services, Inc.",isiinc,http://isiinc.timebanks.org,http://isiinc.org
PO Box 162,United States,,"The Jefferson Community Time Bank is dedicated to strengthening community ties, supporting our local economy, and promoting resilience in and around Jefferson County, WV.",Jefferson Community Time Bank,,617-460-5282,"Charles Town, West Virginia 25414",timebanks/jefferson-community-time-bank,Sustainable Jefferson County,jeffersoncommunity,http://jeffersoncommunity.timebanks.org,http://www.sustainablejeffersoncounty.org/
"45 Monmouth Rd, The White House in Oakhurst",United States,,To connect our community on equal terms and values by helping hands,Jersey Shore Timebank,,2405052357,"Oakhurst, New Jersey 07755",timebanks/jersey-shore-timebank,,jerseyshore,http://jerseyshore.timebanks.org,http://jstimebank.weebly.com
"8 South Road, The EcoCentre",New Zealand,,"Facilitating an equitable and resilient way forward for Aotearoa New Zealand by creating a means of exchange that values sharing the gifts we have with others, strengthening a sense of community and inspiring respect for each other and our environment.",Kaitaia  TimeBank,,Rebecca  021 408 989,"Kaitaia, Northland 0410",timebanks/kaitaia-timebank,,kaitaia,http://kaitaia.timebanks.org,
4 Settlement Road,New Zealand,,"This timebank is intended for people nearing retirement (or already retired) and living in Te Horo or nearby. It's a free community timebank, for which members will not be charged by the organiser/coordinator.",Kapiti 50 +,,63642138,"RD 2 Otaki, Wellington 5582",timebanks/kapiti-50-timebank,,kapiti50,http://kapiti50.timebanks.org,
7365 McGowan's Ferry Road,United States,,,Kentucky Light Community (KLC),,859-539-3438,"Versailles, Kentucky 40383",timebanks/kentucky-light-community-klc,,klc,http://klc.timebanks.org,
Kruis Street,South Africa,,"The mission of the Khokha Timebank is to provide a platform for people across South Africa and the continent to access services of other members in a safe, efficient and transparent manner.",Khokha,,27765122512,"Johannesburg, Gauteng 2000",timebanks/khokha,Economic Democracy,khokha,http://khokha.timebanks.org,http://www.economicdemocracy.org.za
"420 S Chester St, c/o Civilization Systems",United States,,A Creative Resource-Sharing Model for  the Baltimore Area,LetsBMore,,4437404751,"Baltimore, Maryland 21231",timebanks/letsbmore,,letsbmore,http://letsbmore.timebanks.org,http://www.letsbmore.org
118 Fifth Ave,United States,,To improve the lives of our members and the health of the community by building skills and taking care of each other.,Margination Mutual Support Network,,415-261-3149,"Troy, New York 12180",timebanks/margination-mutual-support-network,Margination,margination,http://margination.timebanks.org,
998 Catherine Street,United States,,,Meadville Time Trade,,814-853-5412,"Meadville, Pennsylvania 16335",timebanks/meadville-time-trade,,meadville,http://meadville.timebanks.org,
"44 Cass St., Community House",New Zealand,,"To support the growth of a regenerative, resilient and caring community by connecting people, services and resources in Mid Canterbury. Our slogan: Connect. Contribute. Belong.",Mid Canterbury TimeBank,,64 33081237,"Ashburton, Canterbury 7700",timebanks/mid-canterbury-timebank,Connecting Mid Canterbury,midcanterbury,http://midcanterbury.timebanks.org,
"The buszy, 401 Elder gate",United Kingdom,,"MK TimeBank is an exchange network where our members earn credits for giving their time to the community. For each hour they give they earn one time credit. Members can then spend their credits accessing training, opportunities and items. MKTB is a Make a Difference funded project.",MK TimeBank,,01908 231312,"Milton Keynes, Buckinghamshire mk9 1lr",timebanks/mk-timebank,MK TimeBank is run by Make a Difference. A non profit in the UK www.mad-uk.org,mk,http://mk.timebanks.org,http://www.mktimebank.co.uk
P O Box 243,United States,,"Mountaineer Time Exchange is a membership organization that aims to strengthen the community through service. We trade services to each other for Time Credits. One hour of service equals one Time Credit. We are made up of members of primarily the Morgan County but surrounding areas are welcome to join. Our purpose is to create unity, strengthen the community and improve the lives of our members through meaningful Time Exchanges. By helping to create stronger more fulfilled individuals we aim to also create a strong community.",Mountaineer Time Exchange,,304-258-9879,"Great Cacapon, West Virginia 25422",timebanks/mountaineer-time-exchange,,mttimeexchange,http://mttimeexchange.timebanks.org,
Invercargill,New Zealand,,People are our greatest strength. Time banking brings communities together as people trade time instead of money. Your hour is worth the same as mine.,Murihiku Time Exchange,The world's most Southern time bank!!,0210-875-8085,"Invercargill, Southland 9812",timebanks/murihiku-time-exchange,,murihiku,http://murihiku.timebanks.org,
"Dominion Building, Victoria Street",New Zealand,,To support wahine Maori and their whanau flourish to in business.  Our mission is to reclaim the ancient process of trade and exchange to ensure access to capital is not a barrier preventing tangata whenua accessing support in building successful businesses.,MWDI HINEPRENEUR,,64 4 499 6504,"Wellington, Wellington 6011",timebanks/mwdi-hinepreneur,,mwdi,http://mwdi.timebanks.org,http://www.mwdi.co.nz
502 N Trade Street,United States,,"To begin timebanking with neighborhood associations, individuals and organizations across Winston Salem, NC.  To develop and use the assets of community in place of money and to strengthen relationships in community.",NBN Neighborhood Network,,336-865-5016,"Winston Salem, North Carolina 27105",timebanks/nbn-neighborhood-network,Neighbors For Better Neighborhoods,nbnneighborhoodnetwork,http://nbnneighborhoodnetwork.timebanks.org,http://nbncommunity.org
114 Carol St,United States,,"Our vision is to promote our core socialist values through the time bank. To do this we want to create a structure to connect individuals/organizations in the Piedmont to exchange skills and services, reduce social isolation, and build resilient communities.",NC Piedmont DSA Time Bank,,404-585-1840,"Carrboro, North Carolina 27510",timebanks/piedmont-time-bank,North Carolina Piedmont DSA,piedmont,http://piedmont.timebanks.org,https://www.dsanc.org/
1618 B Alcatraz Avenue,United States,,"We will help our neighbors to find people:  1) who can and will DO any job,  2) who NEED a job done, and 3) who want to join COMMUNITY GROUPS for fun, education, discussion or group projects.",Neighborhood Village,,510-652-7442,"Berkeley, California 94703",timebanks/neighborhood-village,,theneighborhoodvillage,http://theneighborhoodvillage.timebanks.org,
935 Echo Lane,United States,,Nonprofit Educational Resources Dedication  Share your knowledge. Learn how productive your time can be.,NERD,,713-469-8572,"Houston, Texas 77024",timebanks/nerd,,nerd,http://nerd.timebanks.org,
"715 Harvard Ave, 121 Park Ave",United States,,Exchanging Skills & Services to Strengthen the Community.,Nether-Swarthmore TimeBank,,(610) 543-4599,"Swarthmore, Pennsylvania 19081",timebanks/timebank-swarthmore,Swarthmore Community Center,nether-swarthmore,http://nether-swarthmore.timebanks.org,
303 Wilson Ave,United States,,"The New River Valley TimeBank is a project of New River Valley Home, a non-profit that works to foster vibrant, lifespan-friendly communities by connecting people, resources and organizations. It has been developed and supported through the efforts of the NRV Livability Initiative and the NRV Aging in Place Leadership Team.",New River Valley TimeBank,,not listed,"Blacksburg, Virginia 24060",timebanks/new-river-valley-timebank,NRV HOME,nrv,http://nrv.timebanks.org,http://nrvtimebank.org
3929 Fourth St,United States,,"The mission of NOLA TimeBank is to increase the social capital among diverse groups of individuals and neighborhoods in Orleans Parish by promoting resource exchange, cooperation, community-building, and access to alternative work and learning opportunities.",NOLA TimeBank,"NOLA TimeBank’s mission is to increase the social capital among diverse groups of individuals and neighborhoods in Orleans Parish by promoting resource exchange, cooperation, community-building, and access to alternative work and learning opportunities.",504-439-4530,"NEW ORLEANS, Louisiana 70125",node/1322,Neighborhoods Partnership Network,nola,http://nola.timebanks.org,
5209 Deerhurst Drive,United States,,"The Norman Time Bank seeks to meet unmet needs with untapped human resources, and to create a complimentary economy based on caring, trust, and justice.",Norman Timebank,,405-317-3955,"Norman, Oklahoma 73069",timebanks/norman-timebank,,norman,http://norman.timebanks.org,
1328 Bruce St,United States,,"Our vision at the California Northern Counties Time Bank  is a community that values everyone's skills and talents equally and where assets are utilized to ensure everyone's needs are met. We envision an empowering and welcoming community, which is built through strong connections and relationships where all are respected. To realize this vision we promote the understanding that all work is important and should be valued equally. We help people recognize that they have much to contribute to others and facilitate connections between those who would like to give and those who have a need.  We strengthen people’s ability to meet their own needs by exchanging talents and keeping resources in the community.  We empower individuals and communities by reducing isolation and improving access to services and resources, all while having fun.",Northern California Counties Time Bank,,1-530-588-4231,"Chico, California 95928",timebanks/northern-california-counties-time-bank,,ncc,http://ncc.timebanks.org,http://www.ncctimebank.org/
268 Newton Swartswood Road,United States,,We are a community-wide circle of giving that encourages people to give of their talents and receive help with their unmet needs in return.,Northwest New Jersey TimeBank,,973.903.2895,"Newton, New Jersey 7860",timebanks/northwest-new-jersey-timebank,Transition Newton,northwestnewjersey,http://northwestnewjersey.timebanks.org,
2499 Kapiolani Blvd,United States,,"We work under an abundance-based and equity ideology. We live in a world of plenty. We each have something to offer. The Oahu Timebank platform will allow us to easily exchange our resources and needs. In doing so, we hope to fulfill our needs locally, without a monetary exchange.",Oahu Timebank,,224 725-0669,"Honolulu, Hawaii 96826",timebanks/oahu-timebank,Aloha Resiliency,oahu,http://oahu.timebanks.org,
10239 Ojai Santa Paula Road,United States,,Placing Value on your Free Time,Ojai Time Exchange,,805 427 1932,"Ojai, California 93023",timebanks/ojai-time-exchange,,ojai,http://ojai.timebanks.org,
46 Barre St.,United States,,"The Onion River Exchange fosters the well-being of our community by providing an exchange network of services and goods that strengthens social cohesion, encourages reciprocity, enhances our local economy and is built on a foundation of respect and equality.",Onion River Exchange,,802-661-8959,"Montpelier, Vermont 05602",node/863,Onion River Exchange,orexchange,http://orexchange.timebanks.org,http://www.orexchange.org
"c/- 115 Waerenga Road,",New Zealand,,"Redefining work Everyone’s time is equal, if you give one hours work you will receive one time credit. If you have another member do one hour’s work for you, they are paid one hour credit and you are debited one hour credit. You don’t have to trade with the same person, you can use or spend your credits with anyone. Timebanking is a non-profit, grassroots initiative committed to building sustainable, connected community. Timebanks are major assets to communities in the face of natural and economic crises - Lyttleton Timebank was instrumental in the Christchurch earthquake recovery. What’s more, each exchange contributes to building community interdependence, the free exchange of local knowledge, facilitating integration for newcomers, and intergenerational networks.",Otaki Timebank,,06 364 6832,"Otaki, Wellington 5512",timebanks/otaki-timebank,Transition Town Otaki,otaki,http://otaki.timebanks.org,
220 W. Market,United States,,To build a stronger community.,Our Community Time Bank,,567-204-9721,"Lima, Ohio 45801",timebanks/our-community-time-bank,,ourcommunity,http://ourcommunity.timebanks.org,
"1640 Good Hope Rd. SE,",United States,,,Our Sharing Community At Bread,,2024808913,"Washington, District Of Columbia 20020",timebanks/our-sharing-community-bread,,oscab,http://oscab.timebanks.org,http://www.breadforthecity.org
102 S. Main St.,United States,,To build community through the exchange of time and talents.,Our TimeBank of Washington County,,414-335-8219,"West Bend, Wisconsin 53095",timebanks/our-timebank-washington-county,,washingtoncountywi,http://washingtoncountywi.timebanks.org,
"200 Federal St., Suite 300",United States,,,Pay It Forward Bank,,6092543577,"Camden, New Jersey 8103",timebanks/pay-it-forward-bank,,pay4wardbank,http://pay4wardbank.timebanks.org,
"2237 Kimberton Rd, PO Box 964",United States,,"Creating a strong, responsive,  connected community where,  using hours as currency,  exchanges of personal talents  are filling unmet needs.",Phoenixville Area Time Bank,Email: pa.timedollar@gmail.com for more information.,6106089281,"Phoenixville, Pennsylvania 19460",node/1009,,patb,http://patb.timebanks.org,
206 Mungavin Avenue,New Zealand,,"To encourage community interaction in the hope that members see their true value within the community with their various talents and abilities and not through ""monetary status"".",Porirua TimeBank,,276886970,"Porirua, Wellington 5243",timebanks/porirua-timebank,Wesley Wellington Mission Inc,porirua,http://porirua.timebanks.org,
"3738 Chouteau Avenue, Suite 200",United States,,,PrideCenter STL,,314-317-0077,"St. Louis, Missouri 63110",timebanks/pridecenter-stl,,pridestl,http://pridestl.timebanks.org,http://www.pridestl.org
68 Austral Parade,Australia,,"To Promote Community Connectedness through generosity, trust and equality",Project Bunbury,,405581973,"Bunbury,  6230",timebanks/project-bunbury,,projectbunbury,http://projectbunbury.timebanks.org,
1601 W Stiles St,United States,,"The Womanist Working Collective launched our own collective Time Bank, a service exchange system which uses time instead of money. Time is the currency given for giving your time to another participant. We are organizing for non-extractive economic alternatives, increased community self-determination, intentional civic engagement and the large scale mobilization of community resources. For example, participating in a neighborhood clean-up day for 1 hour earns you 1 time credit, in which you can then cash in for 1 time credit for resume writing assistance from another participant or bank that credit and allow it to accumulate for a larger cash out.",Reciprocity Time Bank,,267-606-0992,"Philadelphia, Pennsylvania 19121",timebanks/reciprocity,Womanist Working Collective,reciprocity,http://reciprocity.timebanks.org,http://www.WomanistWorkingCollective.org
1327 Grandin Rd. SW,United States,,,Roanoke Valley Time Bank,,540-339-6362,"Roanoke, Virginia 24016",timebanks/roanoke-valley-time-bank,,rvtb,http://rvtb.timebanks.org,
3401 Paris Blvd,United States,,Learning and sharing as a community to reduce reliance on capitalism.,Scouts,,614-638-4004,"Westerville, Ohio 43081",timebanks/scouts,,scouts,http://scouts.timebanks.org,
390 Morris Street,United States,,"We will create and sustain a supportive, reciprocal network where all members are respected and valued equally for their time and talents with the purpose of building community.",Sebastopol Area Time Bank,,707-861-8463,"Sebastopol, California 95472",timebanks/sebastopol-area-time-bank,Sebastopol Community Cultural Center,sebastopolarea,http://sebastopolarea.timebanks.org,http://www.sebastopoltimebank.org
457 Capistrano Drive,United States,,"To build a trusting community through service exchanges, multi-cultural relationships and collaborations with government, organizations, faith and business.",Sobrante Park Time Banking,,510-777-9262,"Oakland, California 94603",node/912,,sobrantepark,http://sobrantepark.timebanks.org,
1185 Macfarlane Ave,United States,,We help the Spring Hill area create a network of neighbors who care for each other.  We build and strengthen relationships by connecting people’s unmet needs and untapped resources.,Spring Hill FL Time Bank,,727-517-1148,"Spring Hill, Florida 34608",timebanks/spring-hill-fl-time-bank,,springhillfl,http://springhillfl.timebanks.org,
"12727 Coursey Blvd, Apt 1087",United States,,SPURT is Better than Currency and is backed and recognized officially. SPURT was created to make it easier to do business with money that is not subject to inflation or devaluation. Use it to do business with other SPURT account holders and create new opportunities.,Spurt Time Bank,,856-533-2423,"Baton Rouge, Louisiana 70816",node/1330,,spurt,http://spurt.timebanks.org,
2138 7th Avenue North,United States,,To support the growth of a time-based community that teaches its members to exchange goods and services without the use of cash.,St. Pete Time Bank,,727.835.8463,"St. Petersburg, Florida 33713",timebanks/everyday-hero-exchange,,stpete,http://stpete.timebanks.org,
1212 Canyon Blvd,United States,,"StarTribe Hours is a time-based medium of exchange developed to support the passions and healthy growth of our global community.     StarTribe Alliance aims to build a global network of superhero activists and communities continuously working to make the world a better place through conscious Earth-stewardship, daily practice of our core values and self-accountability.  Our long term goal is to create an international, sister-city network of alternative eco-schools/peace sanctuaries, with unifying core values, for volunteers, teachers, healers, farmers, and people in need.  Some of these eco-school sites would also double as animal sanctuaries, and many of them as holistic healing centers. By living in accordance with our core values, making ethical life and business choices that are healthy for each other and the environment, we form an alliance that serves the betterment of the planet and the harmonious co-existence of all of its creatures.",StarTribe Hours,,786-424-0392,"Boulder, Colorado 80204",timebanks/startribe-hours,,startribehours,http://startribehours.timebanks.org,http://www.StarTribeAlliance.org
"2208 2nd Avenue, Suite 100",United States,,"To encourage community communication, interaction and involvement To provide formal structure for connection and accountability To foster mutual respect for all individuals and bridge gaps of diversity To provide economic relief through access to alternative resources To promote equality and recognition for the sharing of time and gifts To provide assistance for help that may otherwise go unattended To promote continued independence in the community",SWEL Timebank,,206 727-6206,"Seattle, Washington 98121",timebanks/swel-timebank,Senior Services,swel,http://swel.timebanks.org,
"6827 4th Street, NW, #213",United States,,"A neighborhood TimeBank serving Historic Takoma Park in DC and MD. The TimeBank is open to others but the focus of activities and outreach is the local neighborhood. Historic Takoma Park overlaps the DC and MD border in the northwest corner of DC. In DC, Historic Takoma Park is a neighborhood usually called Takoma or Takoma DC. Takoma Park, MD, is much larger and is its own incorporated town. When developed in the 1880s the two were one town and shared a zip code well into the middle of the 20th Century. Locating us on the map may be simpler by looking for the Takoma Metro Station. The purpose of TakomaTime is to bring the neighborhood together by sharing time and skills, and increasing communication.",TakomaTime,,202-722-1727,"Washington, District Of Columbia 20012",timebanks/takomatime-0,,takomatime,http://takomatime.timebanks.org,http://www.takomatime.org
254 Wilson St,United States,,"To invite the community to join in a reciprocal network where all members are respected and valued for their time and talents. Through the sharing of our talents and needs, we will sustain a member driven time bank where everyone is a contributor, turning ""You need me"" into ""We need each other.""",Taney County Time Bank,,417-230-3685,"Branson, Missouri 65616",timebanks/taney-county-time-bank,,taneycounty,http://taneycounty.timebanks.org,
13 Lyn Street,New Zealand,,"Vision “Putting the Unity back in Community” to enhance and support positive opportunities for Taranaki Timebank members now and in the future... hour by hour. Neighbour helping neighbour where every person's time has equal value. What a world we could have if we all value each other equally, share our gifts, talents and time with our neighbour(s) and have a mechanism for asking for the help we need in return. Mission To connect people who have gifts, skills and knowledge and a willingness to share them for the benefit of others; a “give and take” system managed through the use of computer technology and the Internet that will strengthen our community in a positive way.",Taranaki Timebank,,06 769 5505,"New Plymouth,  4310",timebanks/timebank-taranaki,Imagine Better,taranaki,http://taranaki.timebanks.org,
"421 McBain Road, RR 2",Canada,,"To build strong community support networks by exchanging time, labor, skills, and resources.",The Community Project (Scotsburn Area),,9023012530,"Scotsburn, Nova Scotia B0K 1R0",timebanks/community-project-scotsburn,,thecommunityproject,http://thecommunityproject.timebanks.org,
"38 Victoria St, Alicetown",New Zealand,,Promoting an active and connected community.,The Hutt Timebank,,+64 45892646,"Lower Hutt,  5010",timebanks/hutt-south-timebank,Transition Town Lower Hutt,huttsouth,http://huttsouth.timebanks.org,
"The Portal/The Info Centre, 20 Oxford Street",New Zealand,,Creating Community Together   One Trade at a Time.,The Lyttelton Time Bank,,64 21 047 6144,"Lyttelton, Canterbury 8082",node/990,,lyttelton,http://lyttelton.timebanks.org,
1416 44th St NE,United States,,"The mission of The Sanctuary Intergenerational Senior Villages is to work in neighborhoods to provide supportive services that empower individuals to thrive in their community with dignity and respect. The Sanctuary engages the strengths within our communities that emphasizes people’s self-determination with a focus on intergenerational activities that are enriching to seniors, youth, and families.",The Sanctuary Intergenerational Senior Village,,(202) 742-6880,"Washington, District Of Columbia 20019",timebanks/sanctuary-intergenerational-senior-village,,sanctuaryseniorvillage,http://sanctuaryseniorvillage.timebanks.org,
10615-D Tierrasanta Blvd.,United States,,Ensuring that we live life to the fullest in our own homes and in our community as we 'age-in-place'.,Tierrasanta Village of San Diego,"Our Time Bank is a benefit of membership in Tierrasanta Village of San Diego (TVSD) a non profit 501(c)3.  Our Village is restricted to residents of Tierrasanta (an urban community within San Diego, California)  who are age 50 and older.",858-569-9119,"San Diego, California 92124",node/933,Tierrasanta Village of San Diego,tierrasanta,http://tierrasanta.timebanks.org,http://Tierrasantavillage.org
1104 N. Broad St.,United States,,"Our mission is to create and strengthen informal support systems in the community by exchanging services. We believe that the human infrastructure that is necessary to care for children, the frail, and elderly, to build and maintain connections with others, and to build safe and vibrant communities requires work and that it is work that should be valued.",Time Bank of Galesburg,,3123809487,"Galesburg, Illinois 61401",timebanks/time-bank-galesburg,,galesburgil,http://galesburgil.timebanks.org,
548 Lake Shore Drive,United States,,"Our mission is to provide a community resource for West Milford, New Jersey and surrounding communities, connecting unmet needs with untapped resources.",Time Bank of West Milford,,973 853-4134,"Hewitt, New Jersey 07421",node/883,Sustainable West Milford,westmilford,http://westmilford.timebanks.org,
42164 Cabot Trail,Canada,,"The St. Ann’s Bay Time Bank helps the community to work together to build an ever-evolving and inclusive exchange of services that supports social cohesion, encourages reciprocity, enhances our local economy and is based on respect and equality.",Time Bank St. Ann's Bay,,902-929-2399,"Wreck Cove, Nova Scotia B0C 1H0",timebanks/time-bank-st-anns-bay,St. Ann's Bay Development Association,stannsbay,http://stannsbay.timebanks.org,
14 Ludstone Rd,New Zealand,,"Kaikoura Time Exchange will be a vehicle for our community to share their skills and time and connect with each other, valuing all people equally. Meeting the real needs of our community through exchanges by and for ourselves. Creating a vehicle for serving and being served.",Time Exchange Kaikoura,,64278072874,"Kaikoura, Canterbury 7300",timebanks/kaikoura-time-exchange,Kaikoura Education Trust,kaikoura,http://kaikoura.timebanks.org,
PO Box 75,United States,,"We link Maine communities in a statewide network based on good will, sharing our skills and resources to improve quality of life through reciprocity.",Time Initiative of Maine,,(207) 385-4238,"Augusta, Maine 04332",timebanks/time-initiative-maine,Resources for Organizing and Social Change,mainetime,http://mainetime.timebanks.org,http://community.timebanks.org/midmaine%40community.timebanks.org
11F Settlers Crescent,New Zealand,,"It is our mission to establish a national body for TimeBanking in New Zealand to strengthen the community sector by making resources, expertise, interconnections and support easily available to those initiating and developing TimeBanks throughout this country.",TimeBank Aotearoa New Zealand,,277391832,"Ferrymead, Canterbury 8023",timebanks/timebank-aotearoa-new-zealand,Project Lyttelton,newzealand,http://newzealand.timebanks.org,http://www.timebank.org.nz
51 Dineen Drive,Canada,,The mission of TimeBank NB Fredericton is to build a network of people working cooperatively to contribute to each other's well-being through giving and receiving services in an alternative economy based on valuing human time.,TimeBank Fredericton,,506-440-1858,"Fredericton, New Brunswick E3B 5G3",timebanks/timebank-fredericton,,tbfredericton,http://tbfredericton.timebanks.org,
7345 Kula Hwy,United States,,"To co-create a community based upon values, authenticity, and the fullest expression of each person, living in congruence and alignment.",Timebank Hawai'i,,808-372-0804,"Kula, Hawaii 96790",timebanks/timebank-hawaii,Sweet Annie,tbhawaii,http://tbhawaii.timebanks.org,
"40 Chamberlain Avenue, Amberley Beach",New Zealand,,"Spending Time, Making Time",TimeBank Hurunui,,+64 3 314 9448,"Amberley,  RD1",timebanks/timebank-hurunui,,hurunui,http://hurunui.timebanks.org,
P.O. Box 46241,United States,,"Our vision is to value time equally and increase access to wealth & community. Our mission is to create a community-wide circle of giving, building relationships by connecting untapped resources with unmet needs. Through reciprocity we celebrate that everyone has unique gifts to share",TimeBank Indianapolis,,888-362-6588,"Indianapolis, Indiana 46241",timebanks/mcs-1-stop-central-indiana-community,,mcs1stopindy,http://mcs1stopindy.timebanks.org,http://www.mcs-universal.biz/TimeBanking.html
102 Parnell Heights Drive,New Zealand,,"Our Mission Statement is under development. We are adhering to the 5 core values that USA Timebanks operate under - respect, reciprocity, community strengthening, assets, redefining valued work.",TimeBank Manawatu,,275950111,"Palmerston North, Manawatu-Wanganui 4414",timebanks/timebank-manawatu,,manawatu,http://manawatu.timebanks.org,http://www.timebankmanawatu.org.nz
"c/o Transition Town Media, 604 North Monroe Street",United States,,"We strive to re-weave resiliency in the Greater Media, PA community by a system that connects its participants' unmet needs with untapped community resources.",TimeBank Media,,610-209-4358,"Media, Pennsylvania 19063",node/946,Transition Town Media,media,http://media.timebanks.org,
3412 Rt 134,Canada,,The mission of TimeBank New Brunswick is to build a network of people working cooperatively to contribute to each other's well-being through giving and receiving services in an alternative economy based on valuing human time.,TimeBank New Brunswick,,506-530-5937,"Shediac, New Brunswick E4P3J3",timebanks/timebank-new-brunswick,,nb,http://nb.timebanks.org,
"Bow Street, Town Hall",New Zealand,,"Our Vision: building vibrant resilient and actively connected communities through complementary economic systems. Building healthy communities! Our Mission: Timebank Raglan promotes resilience and wellbeing in our community by connecting people and creating opportunities for them to share and swap skills, time and resources. Core values that underpin all activity:  We are all assets.  Everyone is valuable and has something to offer Redefining work - that is valuing the often unpaid and unseen work that creates a caring and compassionate community Reciprocity - the flow of both giving and receiving Social networks - the value and importance of a connected community Respect",Timebank Raglan,,64 7 825 0480,"Raglan,  3265",timebanks/timebank-raglan,Whaingaroa Environment Centre,raglan,http://raglan.timebanks.org,http://www.whaingaroa.org.nz
"44 Norana Rd, Timberlea",New Zealand,,The mission of TimeBank Upper Hutt is to build a network of friendships across the city through inclusive exchange of time and talent. We seek to see our community strengthened by neighbours helping neighbours through reciprocal sharing of time. We have what we need if we use what we have.,TimeBank Upper Hutt,,6449342629,"Upper Hutt,  5018",timebanks/timebank-upper-hutt,,upperhutt,http://upperhutt.timebanks.org,http://timebankupperhutt.org.nz/
"510 Mt Thomas Rd, RD1",New Zealand,,"To provide the opportunity for people to share skills, talents and support through a timebank.",Timebank Waimakariri,,33411383,"Rangiora, Canterbury 7471",timebanks/timebank-waimakariri,,waimakariri,http://waimakariri.timebanks.org,
1 S 1st St,United States,,Our mission is the giving and receiving of volunteer services to improve the overall quality of life in our community.,TimeBank13069,,315-516-5998,"Fulton, New York 13069",timebanks/timebank13069,,tb13069,http://tb13069.timebanks.org,
"6619 132nd Avenue, NE, PMB #183",United States,,"Each of us has unique gifts, abundant talents and great value. Timebanks of Puget Sound (ToPS) creates partnerships in communities and neighborhoods to bring together our valuable gifts & talents.  ToPS timebanks are in West Seattle, on the Eastside, Mercer Island and Vashon Island.",Timebanks of Puget Sound (TOPS),West Seattle TimeBank EastsideTimeBank Mercer IslandTimeBank Vashon IslandTimeBank,206-818-4606,"Kirkland, Washington 98033",timebanks/timebanks-puget-sound,,tops,http://tops.timebanks.org,http://www.tbanks.org
"741-4, Doryang-dong",South Korea,,Build up community support system and strengthen solidarity for sustainable community well-being by connecting people and resources within community.,timebankskorea,,82-2-10-9008-2992,"Gumi,  39198",timebanks/timebankskorea,"John Center, Gumi, Korea",korea,http://korea.timebanks.org,http://www.johncenter.or.kr
Yesha'ayahu 3,Israel,,,TimeBankTLV,,544646695,"Tel Aviv, Tel Aviv 62494",timebanks/timebanktlv,,tlv,http://tlv.timebanks.org,
"5500 39th Street, NW",United States,,Our mission is to nurture and expand a TimeBanking movement that promotes equality and builds caring community economies through inclusive exchanges of time and talents.,TimeForAll,,,"Washington, District Of Columbia 20015",timebanks/tbusa,,timeforall,http://timeforall.timebanks.org,http://timebanks.org/
"ARC of the Northwoods, 514 West Main Street",United States,,"To connect people with people in Northern Wisconsin; to create alternative work and learning opportunities; to fill gaps in community needs; to share, give, receive.",TimeTraders North and the Washburn Area Timebank,,715-682-7171,"Ashland, Wisconsin 54806",node/835,,timetradersnorth,http://timetradersnorth.timebanks.org,
120 South Street,United States,,"The mission of Together We Can Timebank is to address the needs of the Newburgh community through the power of its people.  We aim to help people within The City of Newburgh realize that their interests, skills, and abilities can contribute to the betterment of the Newburgh community and to society at-large. We also aim to help people realize that service to others builds a more interconnected and neighborly community for our beautiful city and that this connection to others is vital for any advancement we may seek.",Together We Can,,845-432-4033,"Newburgh, New York 12550",timebanks/together-we-can,"Individuals Making Positive Advancements in their Communities Together, Inc.",togetherwecan,http://togetherwecan.timebanks.org,
5833 Meetinghouse Rd,United States,,"The mission of the Tully Area Timebank is to create and support an easily accessible system which encourages participation and an egalitarian exchange of skills, talents, knowledge, and services for the time spent instead of for monetary value. It weaves our community members' individual assets into a mutually beneficial, multigenerational collaboration, strengthening the fiber of our community and meeting real needs for services among our citizens in a never-ending process of sharing.",Tully Area TimeBank,,315-416-6629,"Tully, New York 13159",timebanks/tully-area-timebank,,tullyarea,http://tullyarea.timebanks.org,
1929 Hammerlin Avenue,United States,,"UBUNTU Contributionism is a new social and economic system that guarantees the happiness, abundance and prosperity of every human on the planet. In an effort to help our fellow humans using our natural talents, and in an effort to do away with the monetary system, we are beginning a Time Bank.",Ubuntu,,407-432-1597,"Winter Park, Florida 32789",timebanks/ubuntu,,ubuntu,http://ubuntu.timebanks.org,
"4200 Connecticut Ave NW, Building 38 2nd Floor",United States,,"The University of the District of Columbia students have a wealth of skills, experience, and services to offer each other, and to the District of Columbia!",UDC TimeBank,,not listed,"Washington, District Of Columbia 20008",timebanks/udc-timebank,,udc,http://udc.timebanks.org,
