address,country,exchanges,focus,hours,last_exchange,members,name,notes,offers,phone,postal,requests,slug,sponsor,url,url_2
4 Settlement Road,New Zealand,none (start up),,none (start up),none (start up),3,Kapiti 50 +,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">63642138</span>
</div>","RD 2 Otaki, Wellington 5582",0,timebanks/kapiti-50-timebank,,http://kapiti50.timebanks.org,
7365 McGowan's Ferry Road,United States,none (start up),,none (start up),none (start up),1,Kentucky Light Community (KLC),,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">859-539-3438</span>
</div>","Versailles, Kentucky 40383",0,timebanks/kentucky-light-community-klc,,http://klc.timebanks.org,
Kruis Street,South Africa,1,,2,3 years 23 weeks ago,4,Khokha,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">27765122512</span>
</div>","Johannesburg, Gauteng 2000",0,timebanks/khokha,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Economic Democracy</span>
</div>",http://khokha.timebanks.org,
"420 S Chester St, c/o Civilization Systems",United States,72,,179,21 weeks 5 days ago,120,LetsBMore,,15,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">4437404751</span>
</div>","Baltimore, Maryland 21231",20,timebanks/letsbmore,,http://letsbmore.timebanks.org,
118 Fifth Ave,United States,none (start up),,none (start up),none (start up),11,Margination Mutual Support Network,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">415-261-3149</span>
</div>","Troy, New York 12180",0,timebanks/margination-mutual-support-network,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Margination</span>
</div>",http://margination.timebanks.org,
998 Catherine Street,United States,5,,5,1 year 46 weeks ago,6,Meadville Time Trade,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">814-853-5412</span>
</div>","Meadville, Pennsylvania 16335",0,timebanks/meadville-time-trade,,http://meadville.timebanks.org,
"44 Cass St., Community House",New Zealand,1355,,4283,19 hours 23 min ago,152,Mid Canterbury TimeBank,,40,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">64 33081237</span>
</div>","Ashburton, Canterbury 7700",76,timebanks/mid-canterbury-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Connecting Mid Canterbury</span>
</div>",http://midcanterbury.timebanks.org,
"The buszy, 401 Elder gate",United Kingdom,161,,414,3 years 13 weeks ago,29,MK TimeBank,,1,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">01908 231312</span>
</div>","Milton Keynes, Buckinghamshire mk9 1lr",1,timebanks/mk-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">MK TimeBank is run by Make a Difference. A non profit in the UK www.mad-uk.org</span>
</div>",http://mk.timebanks.org,
P O Box 243,United States,2,,4,2 years 12 weeks ago,5,Mountaineer Time Exchange,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">304-258-9879</span>
</div>","Great Cacapon, West Virginia 25422",0,timebanks/mountaineer-time-exchange,,http://mttimeexchange.timebanks.org,
Invercargill,New Zealand,117,,371,14 weeks 6 days ago,67,Murihiku Time Exchange,The world's most Southern time bank!!,10,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">0210-875-8085</span>
</div>","Invercargill, Southland 9812",5,timebanks/murihiku-time-exchange,,http://murihiku.timebanks.org,
"Dominion Building, Victoria Street",New Zealand,none (start up),,none (start up),none (start up),17,MWDI HINEPRENEUR,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">64 4 499 6504</span>
</div>","Wellington, Wellington 6011",0,timebanks/mwdi-hinepreneur,,http://mwdi.timebanks.org,
502 N Trade Street,United States,263,,2245,3 weeks 2 days ago,465,NBN Neighborhood Network,,18,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">336-865-5016</span>
</div>","Winston Salem, North Carolina 27105",9,timebanks/nbn-neighborhood-network,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Neighbors For Better Neighborhoods</span>
</div>",http://nbnneighborhoodnetwork.timebanks.org,
114 Carol St,United States,31,,34,16 weeks 5 days ago,18,NC Piedmont DSA Time Bank,,9,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">404-585-1840</span>
</div>","Carrboro, North Carolina 27510",4,timebanks/piedmont-time-bank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">North Carolina Piedmont DSA</span>
</div>",http://piedmont.timebanks.org,
1618 B Alcatraz Avenue,United States,none (start up),,none (start up),none (start up),3,Neighborhood Village,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">510-652-7442</span>
</div>","Berkeley, California 94703",0,timebanks/neighborhood-village,,http://theneighborhoodvillage.timebanks.org,
935 Echo Lane,United States,53,,152,2 years 38 weeks ago,17,NERD,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">713-469-8572</span>
</div>","Houston, Texas 77024",0,timebanks/nerd,,http://nerd.timebanks.org,
"715 Harvard Ave, 121 Park Ave",United States,199,,341,15 hours 35 min ago,127,Nether-Swarthmore TimeBank,,35,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">(610) 543-4599</span>
</div>","Swarthmore, Pennsylvania 19081",28,timebanks/timebank-swarthmore,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Swarthmore Community Center</span>
</div>",http://nether-swarthmore.timebanks.org,
303 Wilson Ave,United States,778,,2060,1 day 15 hours ago,145,New River Valley TimeBank,,64,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">not listed</span>
</div>","Blacksburg, Virginia 24060",58,timebanks/new-river-valley-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">NRV HOME</span>
</div>",http://nrv.timebanks.org,
3929 Fourth St,United States,1216,,2804,4 days 9 hours ago,362,NOLA TimeBank,"NOLA TimeBank’s mission is to increase the social capital among diverse groups of individuals and neighborhoods in Orleans Parish by promoting resource exchange, cooperation, community-building, and access to alternative work and learning opportunities.",156,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">504-439-4530</span>
</div>","NEW ORLEANS, Louisiana 70125",156,node/1322,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Neighborhoods Partnership Network</span>
</div>",http://nola.timebanks.org,
5209 Deerhurst Drive,United States,none (start up),,none (start up),none (start up),5,Norman Timebank,,2,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">405-317-3955</span>
</div>","Norman, Oklahoma 73069",2,timebanks/norman-timebank,,http://norman.timebanks.org,
1328 Bruce St,United States,none (start up),,none (start up),none (start up),3,Northern California Counties Time Bank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">1-530-588-4231</span>
</div>","Chico, California 95928",0,timebanks/northern-california-counties-time-bank,,http://ncc.timebanks.org,
268 Newton Swartswood Road,United States,1599,,4245,5 weeks 1 day ago,136,Northwest New Jersey TimeBank,,34,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">973.903.2895</span>
</div>","Newton, New Jersey 7860",26,timebanks/northwest-new-jersey-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Transition Newton</span>
</div>",http://northwestnewjersey.timebanks.org,
2499 Kapiolani Blvd,United States,31,,86,3 years 23 weeks ago,87,Oahu Timebank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">224 725-0669</span>
</div>","Honolulu, Hawaii 96826",0,timebanks/oahu-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Aloha Resiliency</span>
</div>",http://oahu.timebanks.org,
10239 Ojai Santa Paula Road,United States,60,,106,7 weeks 5 days ago,40,Ojai Time Exchange,,37,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">805 427 1932</span>
</div>","Ojai, California 93023",25,timebanks/ojai-time-exchange,,http://ojai.timebanks.org,
46 Barre St.,United States,16444,,49320,8 hours 34 min ago,162,Onion River Exchange,,201,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">802-661-8959</span>
</div>","Montpelier, Vermont 05602",203,node/863,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Onion River Exchange</span>
</div>",http://orexchange.timebanks.org,
"c/- 115 Waerenga Road,",New Zealand,2778,,7396,6 weeks 6 days ago,74,Otaki Timebank,,7,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">06 364 6832</span>
</div>","Otaki, Wellington 5512",8,timebanks/otaki-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Transition Town Otaki</span>
</div>",http://otaki.timebanks.org,
220 W. Market,United States,10,,23,2 years 42 weeks ago,6,Our Community Time Bank,,1,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">567-204-9721</span>
</div>","Lima, Ohio 45801",1,timebanks/our-community-time-bank,,http://ourcommunity.timebanks.org,
"1640 Good Hope Rd. SE,",United States,49,,253,1 year 47 weeks ago,32,Our Sharing Community At Bread,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">2024808913</span>
</div>","Washington, District Of Columbia 20020",0,timebanks/our-sharing-community-bread,,http://oscab.timebanks.org,
102 S. Main St.,United States,160,,231,1 year 37 weeks ago,44,Our TimeBank of Washington County,,14,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">414-335-8219</span>
</div>","West Bend, Wisconsin 53095",14,timebanks/our-timebank-washington-county,,http://washingtoncountywi.timebanks.org,
"200 Federal St., Suite 300",United States,5,,8,3 years 39 weeks ago,19,Pay It Forward Bank,,18,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">6092543577</span>
</div>","Camden, New Jersey 8103",18,timebanks/pay-it-forward-bank,,http://pay4wardbank.timebanks.org,
"2237 Kimberton Rd, PO Box 964",United States,11890,,40956,1 day 12 hours ago,167,Phoenixville Area Time Bank,Email: pa.timedollar@gmail.com for more information.,51,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">6106089281</span>
</div>","Phoenixville, Pennsylvania 19460",66,node/1009,,http://patb.timebanks.org,
206 Mungavin Avenue,New Zealand,116,,234,7 weeks 3 days ago,23,Porirua TimeBank,,3,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">276886970</span>
</div>","Porirua, Wellington 5243",5,timebanks/porirua-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Wesley Wellington Mission Inc</span>
</div>",http://porirua.timebanks.org,
"3738 Chouteau Avenue, Suite 200",United States,none (start up),,none (start up),none (start up),2,PrideCenter STL,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">314-317-0077</span>
</div>","St. Louis, Missouri 63110",0,timebanks/pridecenter-stl,,http://pridestl.timebanks.org,
68 Austral Parade,Australia,363,,864,1 year 49 weeks ago,77,Project Bunbury,,5,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">405581973</span>
</div>","Bunbury,  6230",8,timebanks/project-bunbury,,http://projectbunbury.timebanks.org,
1601 W Stiles St,United States,106,,342,1 week 6 days ago,31,Reciprocity Time Bank,,41,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">267-606-0992</span>
</div>","Philadelphia, Pennsylvania 19121",44,timebanks/reciprocity,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Womanist Working Collective</span>
</div>",http://reciprocity.timebanks.org,
1327 Grandin Rd. SW,United States,3,,7,1 year 32 weeks ago,12,Roanoke Valley Time Bank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">540-339-6362</span>
</div>","Roanoke, Virginia 24016",0,timebanks/roanoke-valley-time-bank,,http://rvtb.timebanks.org,
3401 Paris Blvd,United States,none (start up),,none (start up),none (start up),5,Scouts,,3,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">614-638-4004</span>
</div>","Westerville, Ohio 43081",3,timebanks/scouts,,http://scouts.timebanks.org,
390 Morris Street,United States,1922,,4451,5 hours 3 min ago,216,Sebastopol Area Time Bank,,123,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">707-861-8463</span>
</div>","Sebastopol, California 95472",125,timebanks/sebastopol-area-time-bank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Sebastopol Community Cultural Center</span>
</div>",http://sebastopolarea.timebanks.org,
457 Capistrano Drive,United States,5161,,16941,2 years 27 weeks ago,157,Sobrante Park Time Banking,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">510-777-9262</span>
</div>","Oakland, California 94603",0,node/912,,http://sobrantepark.timebanks.org,
1185 Macfarlane Ave,United States,80,,335,4 hours 26 min ago,17,Spring Hill FL Time Bank,,15,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">727-517-1148</span>
</div>","Spring Hill, Florida 34608",6,timebanks/spring-hill-fl-time-bank,,http://springhillfl.timebanks.org,
"12727 Coursey Blvd, Apt 1087",United States,2,,29856,25 weeks 6 days ago,9,Spurt Time Bank,,2,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">856-533-2423</span>
</div>","Baton Rouge, Louisiana 70816",2,node/1330,,http://spurt.timebanks.org,
2138 7th Avenue North,United States,3189,,7558,5 hours 59 min ago,162,St. Pete Time Bank,,177,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">727.835.8463</span>
</div>","St. Petersburg, Florida 33713",201,timebanks/everyday-hero-exchange,,http://stpete.timebanks.org,
1212 Canyon Blvd,United States,2,,7,15 weeks 6 days ago,125,StarTribe Hours,,5,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">786-424-0392</span>
</div>","Boulder, Colorado 80204",4,timebanks/startribe-hours,,http://startribehours.timebanks.org,
"2208 2nd Avenue, Suite 100",United States,1961,,4756,6 days 12 hours ago,50,SWEL Timebank,,105,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">206 727-6206</span>
</div>","Seattle, Washington 98121",93,timebanks/swel-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Senior Services</span>
</div>",http://swel.timebanks.org,
"6827 4th Street, NW, #213",United States,29,,149,35 weeks 3 days ago,28,TakomaTime,,16,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">202-722-1727</span>
</div>","Washington, District Of Columbia 20012",9,timebanks/takomatime-0,,http://takomatime.timebanks.org,
254 Wilson St,United States,12,,52,44 weeks 4 days ago,12,Taney County Time Bank,,17,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">417-230-3685</span>
</div>","Branson, Missouri 65616",16,timebanks/taney-county-time-bank,,http://taneycounty.timebanks.org,
13 Lyn Street,New Zealand,2482,,5657,1 day 5 hours ago,287,Taranaki Timebank,,58,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">06 769 5505</span>
</div>","New Plymouth,  4310",60,timebanks/timebank-taranaki,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Imagine Better</span>
</div>",http://taranaki.timebanks.org,
,,1,,1,23 weeks 6 days ago,3,test-launch-2018-07-28-2058,,0,,,0,timebanks/test-launch-2018-07-28-2058,,http://test-launch-2018-07-28-2058.timebanks.org,
"421 McBain Road, RR 2",Canada,1,,2,10 weeks 5 days ago,19,The Community Project (Scotsburn Area),,1,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">9023012530</span>
</div>","Scotsburn, Nova Scotia B0K 1R0",2,timebanks/community-project-scotsburn,,http://thecommunityproject.timebanks.org,
"38 Victoria St, Alicetown",New Zealand,2983,,6015,2 hours 54 min ago,266,The Hutt Timebank,,49,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">+64 45892646</span>
</div>","Lower Hutt,  5010",32,timebanks/hutt-south-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Transition Town Lower Hutt</span>
</div>",http://huttsouth.timebanks.org,
"The Portal/The Info Centre, 20 Oxford Street",New Zealand,11920,,153364,1 week 4 days ago,859,The Lyttelton Time Bank,,14,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">64 21 047 6144</span>
</div>","Lyttelton, Canterbury 8082",29,node/990,,http://lyttelton.timebanks.org,
1416 44th St NE,United States,1,,2,1 year 50 weeks ago,10,The Sanctuary Intergenerational Senior Village,,1,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">(202) 742-6880</span>
</div>","Washington, District Of Columbia 20019",1,timebanks/sanctuary-intergenerational-senior-village,,http://sanctuaryseniorvillage.timebanks.org,
10615-D Tierrasanta Blvd.,United States,4512,,7863,4 weeks 4 days ago,65,Tierrasanta Village of San Diego,"Our Time Bank is a benefit of membership in Tierrasanta Village of San Diego (TVSD) a non profit 501(c)3.  Our Village is restricted to residents of Tierrasanta (an urban community within San Diego, California)  who are age 50 and older.",161,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">858-569-9119</span>
</div>","San Diego, California 92124",160,node/933,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Tierrasanta Village of San Diego</span>
</div>",http://tierrasanta.timebanks.org,
1104 N. Broad St.,United States,3,,3,3 years 23 weeks ago,18,Time Bank of Galesburg,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">3123809487</span>
</div>","Galesburg, Illinois 61401",0,timebanks/time-bank-galesburg,,http://galesburgil.timebanks.org,
548 Lake Shore Drive,United States,446,,1950,1 year 10 weeks ago,209,Time Bank of West Milford,,2,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">973 853-4134</span>
</div>","Hewitt, New Jersey 07421",2,node/883,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Sustainable West Milford</span>
</div>",http://westmilford.timebanks.org,
42164 Cabot Trail,Canada,458,,888,15 hours 28 min ago,119,Time Bank St. Ann's Bay,,81,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">902-929-2399</span>
</div>","Wreck Cove, Nova Scotia B0C 1H0",79,timebanks/time-bank-st-anns-bay,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">St. Ann's Bay Development Association</span>
</div>",http://stannsbay.timebanks.org,
14 Ludstone Rd,New Zealand,21,,42,9 weeks 4 days ago,16,Time Exchange Kaikoura,,1,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">64278072874</span>
</div>","Kaikoura, Canterbury 7300",5,timebanks/kaikoura-time-exchange,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Kaikoura Education Trust</span>
</div>",http://kaikoura.timebanks.org,
PO Box 75,United States,4534,,28667,1 day 4 hours ago,177,Time Initiative of Maine,,80,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">(207) 385-4238</span>
</div>","Augusta, Maine 04332",86,timebanks/time-initiative-maine,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Resources for Organizing and Social Change</span>
</div>",http://mainetime.timebanks.org,
11F Settlers Crescent,New Zealand,26,,647,10 weeks 5 days ago,24,TimeBank Aotearoa New Zealand,,3,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">277391832</span>
</div>","Ferrymead, Canterbury 8023",3,timebanks/timebank-aotearoa-new-zealand,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Project Lyttelton</span>
</div>",http://newzealand.timebanks.org,
51 Dineen Drive,Canada,95,,61,2 years 1 week ago,79,TimeBank Fredericton,,1,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">506-440-1858</span>
</div>","Fredericton, New Brunswick E3B 5G3",1,timebanks/timebank-fredericton,,http://tbfredericton.timebanks.org,
7345 Kula Hwy,United States,none (start up),,none (start up),none (start up),2,Timebank Hawai'i,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">808-372-0804</span>
</div>","Kula, Hawaii 96790",0,timebanks/timebank-hawaii,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Sweet Annie</span>
</div>",http://tbhawaii.timebanks.org,
"40 Chamberlain Avenue, Amberley Beach",New Zealand,3429,,14906,1 day 6 hours ago,340,TimeBank Hurunui,,21,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">+64 3 314 9448</span>
</div>","Amberley,  RD1",17,timebanks/timebank-hurunui,,http://hurunui.timebanks.org,
P.O. Box 46241,United States,441,,2953,11 weeks 5 days ago,165,TimeBank Indianapolis,,31,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">888-362-6588</span>
</div>","Indianapolis, Indiana 46241",32,timebanks/mcs-1-stop-central-indiana-community,,http://mcs1stopindy.timebanks.org,
102 Parnell Heights Drive,New Zealand,730,,1995,2 weeks 4 days ago,87,TimeBank Manawatu,,41,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">275950111</span>
</div>","Palmerston North, Manawatu-Wanganui 4414",49,timebanks/timebank-manawatu,,http://manawatu.timebanks.org,
"c/o Transition Town Media, 604 North Monroe Street",United States,3915,,16326,27 weeks 3 days ago,349,TimeBank Media,,10,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">610-209-4358</span>
</div>","Media, Pennsylvania 19063",9,node/946,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Transition Town Media</span>
</div>",http://media.timebanks.org,
3412 Rt 134,Canada,712,,3020,2 days 16 hours ago,8,TimeBank New Brunswick,,44,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">506-530-5937</span>
</div>","Shediac, New Brunswick E4P3J3",45,timebanks/timebank-new-brunswick,,http://nb.timebanks.org,
"Bow Street, Town Hall",New Zealand,2213,,4990,20 hours 15 min ago,114,Timebank Raglan,,38,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">64 7 825 0480</span>
</div>","Raglan,  3265",29,timebanks/timebank-raglan,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Whaingaroa Environment Centre</span>
</div>",http://raglan.timebanks.org,
"44 Norana Rd, Timberlea",New Zealand,1694,,8172,3 weeks 23 hours ago,72,TimeBank Upper Hutt,,27,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">6449342629</span>
</div>","Upper Hutt,  5018",24,timebanks/timebank-upper-hutt,,http://upperhutt.timebanks.org,
"510 Mt Thomas Rd, RD1",New Zealand,29,,85,2 weeks 6 days ago,23,Timebank Waimakariri,,9,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">33411383</span>
</div>","Rangiora, Canterbury 7471",7,timebanks/timebank-waimakariri,,http://waimakariri.timebanks.org,
1 S 1st St,United States,none (start up),,none (start up),none (start up),2,TimeBank13069,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">315-516-5998</span>
</div>","Fulton, New York 13069",0,timebanks/timebank13069,,http://tb13069.timebanks.org,
